CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
24	12443	1450925	0.85	1463368
25	13613	1477382	0.91	1490995
26	13701	1454263	0.93	1467964
27	14776	1458509	1.00	1473285
28	12705	1445741	0.87	1458446
29	12951	1451645	0.88	1464596
30	13145	1547413	0.84	1560558
31	14778	1565107	0.94	1579885
32	13292	1515250	0.87	1528542
33	12911	1459080	0.88	1471991
34	15116	1613162	0.93	1628278
35	13318	1509972	0.87	1523290
36	13485	1543361	0.87	1556846
37	13172	1515250	0.86	1528422
38	13572	1489778	0.90	1503350
39	12699	1444476	0.87	1457175
40	11885	1389230	0.85	1401115
41	12202	1445228	0.84	1457430
42	13186	1548640	0.84	1561826
43	12050	1420899	0.84	1432949
44	12868	1452270	0.88	1465138
45	12536	1425396	0.87	1437932
46	12132	1412856	0.85	1424988
47	12045	1403617	0.85	1415662
48	15274	1374550	1.10	1389824
49	12385	1449848	0.85	1462233
50	11961	1391934	0.85	1403895
51	12352	1461651	0.84	1474003
52	13035	1463030	0.88	1476065
53	12749	1353491	0.93	1366240
54	11811	1357165	0.86	1368976
55	12358	1396431	0.88	1408789
56	12728	1446642	0.87	1459370
57	12826	1464682	0.87	1477508
58	12559	1441231	0.86	1453790
59	12110	1366331	0.88	1378441
60	12014	1389400	0.86	1401414
61	12886	1412984	0.90	1425870
62	11962	1387604	0.85	1399566
63	11988	1429008	0.83	1440996
64	12232	1399265	0.87	1411497
65	12290	1437476	0.85	1449766
66	12903	1360483	0.94	1373386
67	12238	1430826	0.85	1443064
68	11533	1346251	0.85	1357784
69	12303	1416256	0.86	1428559
70	12105	1372506	0.87	1384611
71	12420	1375624	0.89	1388044
72	11276	1348788	0.83	1360064
73	12136	1396443	0.86	1408579
74	11367	1382883	0.82	1394250
75	12086	1382909	0.87	1394995
76	12772	1430386	0.89	1443158
77	11913	1329323	0.89	1341236
78	11304	1329361	0.84	1340665
79	13485	1420530	0.94	1434015
80	11823	1409966	0.83	1421789
81	12622	1443872	0.87	1456494
82	11139	1297513	0.85	1308652
83	12269	1448376	0.84	1460645
84	12616	1445928	0.86	1458544
85	13455	1386264	0.96	1399719
86	11002	1321105	0.83	1332107
87	11284	1325028	0.84	1336312
88	11952	1354822	0.87	1366774
89	11486	1386076	0.82	1397562
90	11348	1292178	0.87	1303526
91	11391	1328155	0.85	1339546
92	11147	1283430	0.86	1294577
93	10738	1279620	0.83	1290358
94	10537	1266651	0.83	1277188
95	11349	1316909	0.85	1328258
96	11103	1324056	0.83	1335159
97	9690	1141285	0.84	1150975
98	7222	859714	0.83	866936
99	5369	768264	0.69	773633
100	11544	1264732	0.90	1276276

